tag_id,tag_name,tag_type
42624,whack-a-mole,general
42691,kl,general
42732,drones,general
42810,fractals,general
42828,elvis,general
42983,pinups,general
43094,kajoken,general
43219,targeting,general
43234,golt,general
43390,excavator,general
43569,prisoners,general
43590,elizabethan,general
43753,plasma_blade,general
44057,phong_shading,general
44064,peanut_butter_cup,general
44077,bear_form,general
44103,clothing_optional,general
44167,broken_vase,general
44195,multiple_choice,general
44328,water_balloons,general
44444,strut,general
44492,ink_jar,general
44500,cat's_cradle,general
44597,masterpiece,general
44598,fuzzass,general
44690,tauk,general
44753,commute,general
44802,decrepit,general
44818,sculpted,general
44958,novice,general
45060,^v^,general
45335,shameless_edit,general
45462,closer,general
45513,siege_engine,general
45519,bad_boys,general
45537,cum_through_ears,general
45574,cyberarm,general
45707,goal_post,general
45807,food_poisoning,general
45902,peso,general
45944,mp40,general
46014,unknown_year,general
46136,monster_energy_drink,general
46222,texaco,general
46336,red_dragon,general
46364,spiked_wristbands,general
46408,comforter,general
46425,dragonslayer,general
46496,behelit,general
46542,hadaka_apron,general
46557,mystery_dungeon,general
46601,mascot_contest,general
46752,elemental_plane_of_teeth,general
46760,this_way_up,general
46769,pyu_pyu,general
46813,"1920",general
46913,interaction,general
47225,yiff_machine,general
47268,manties,general
47335,not_art,general
47364,bathing_cap,general
47431,curt,general
47502,exhalation,general
47536,exaggeration,general
47575,physically_impossible,general
47589,flight_form,general
47723,pro_wrestling,general
47837,shawntae,general
47891,attentive,general
47913,evil_santa,general
47923,soybean,general
47925,molecule,general
48020,ferao,general
48096,"4_colors",general
48147,closet_sex,general
48250,windup,general
48366,miyazaki,general
48431,behind_you,general
48562,nazo,general
48599,aki_raccoon,general
48609,bandage_gloves,general
48709,november's_bribe,general
48755,thrusters,general
48999,home_invasion,general
49032,chapstick,general
49102,long_distance,general
49138,sharkweek,general
49246,wanker,general
49312,muramasa,general
49425,not_incest,general
49659,drakel,general
49694,tarp,general
49754,palomino,general
49833,reverse_doggy_style,general
49886,herding,general
49925,fed,general
50083,antigravity,general
50171,old_god,general
50335,notebook_paper,general
50412,psychobilly,general
50436,light_gun,general
50448,rivendell,general
50483,breakout,general
50497,fish_lips,general
50684,groaning,general
50804,shit_rocket,general
50881,night_elf_druid,general
51053,chos,general
51075,white_day,general
51097,raviolis,general
51110,alignment_chart,general
51112,lottery,general
51207,cankles,general
